Title,Type,CriticScore,ReleaseYear,Director,ReleaseDate,Genre,Cast,Rating,Runtime,Summary,NumOfCriticReviews
Schindler's List,Movie,Excellent,1993,Steven Spielberg,"December 15, 1993",War,"['Liam Neeson', 'Ralph Fiennes']",R,195 min,,30
The Lord of the Rings: The Two Towers,Movie,Good,2002,Peter Jackson,"December 18, 2002",Fantasy,['Andy Serkis'],PG-13,179 min,,39
The Terminator,Movie,Good,1984,James Cameron,"October 26, 1984",Thriller,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Michael Biehn']",R,107 min,,21
The Green Mile,Movie,Mediocre,1999,Frank Darabont,"December 10, 1999",Crime,"['Michael Clarke Duncan', 'Tom Hanks']",R,189 min,,36
The Prestige,Movie,Mediocre,2006,Christopher Nolan,"October 20, 2006",Thriller,"['Christian Bale', 'Hugh Jackman', 'Scarlett Johansson']",PG-13,130 min,,36
Gladiator,Movie,Mediocre,2000,Ridley Scott,"May 5, 2000",History,"['Connie Nielsen', 'Joaquin Phoenix', 'Russell Crowe']",R,155 min,"Before Maximus (Crowe), the heroic Roman General, can honor the wishes of his dying emperor Marcus Aurelius (Harris) by assuming the emperor's role, the emperor's cruel and corrupt son Commodus (Phoenix) orders the execution of Maximus and his family.  Escaping death, Maximus assumes the life of an anonymous gladiator, fighting his way back to the Roman Colosseum where he seeks revenge and a return to justice for Rome.",46
The Usual Suspects,Movie,Good,1995,Bryan Singer,"August 16, 1995",Crime,"['Chazz Palminteri', 'Gabriel Byrne', 'Kevin Spacey']",R,106 min,,22
The Godfather: Part II,Movie,Excellent,1974,Francis Ford Coppola,"December 12, 1974",Crime,"['Al Pacino', 'Diane Keaton', 'Robert De Niro', 'Robert Duvall']",R,200 min,,18
Saving Private Ryan,Movie,Excellent,1998,Steven Spielberg,"July 24, 1998",War,"['Matt Damon', 'Tom Hanks']",TV-MA,169 min,,38
Seven,Movie,Mediocre,1995,David Fincher,"September 22, 1995",Crime,"['Brad Pitt', 'Morgan Freeman']",R,127 min,,22
The Shining,Movie,Mediocre,1980,Stanley Kubrick,"May 23, 1980",Horror,"['Jack Nicholson', 'Shelley Duvall']",R,146 min,,26
